PERIODO,NUM_ORDEN,DEPARTAMENTO,DIVISION,INSPECTOR,SUPERVISOR,CUIT,RAZON_SOCIAL,FECHA_INICIO,FECHA_DEVOL_TRANS
1 TRIM 2015,381,EXTERNA F,B,SALDANERI GISELLA,,27928720425,CHOI EUN AH,28/01/2014,DEVOLUCION
2 TRIM 2014,327,EXTERNA F,B,SALDANERI GISELLA,VALDEZ RAUL,27928720425,CHOI EUN AH,,
2 TRIM 2015,391,EXTERNA F,B,SALDANERI GISELLA,POLICANO ANTONIO,27928720425,CHOI EUN AH,28/01/2014,DEVOLUCION
3 TRIM 2014,344,EXTERNA F,B,SALDANERI GISELLA,VALDEZ RAUL,27928720425,CHOI EUN AH,28/01/2014,
3 TRIM 2015,372,EXTERNA F,B,SALDANERI GISELLA,POLICANO ANTONIO,27928720425,CHOI EUN AH,28/01/2014,DEVOLUCION
4 TRIM 2014,326,EXTERNA F,B,SALDANERI GISELLA,VALDEZ RAUL,27928720425,CHOI EUN AH,28/01/2014,
1 TRIM 2014,321,EXTERNA A,II,TROTTA DIEGO,LEGUIZAMON EMANUEL,20928915825,CHOI JAE YONG,18/07/2013,
1 TRIM 2015,380,EXTERNA F,A,TROTTA DIEGO,LENGARD CRISTINA,20928915825,CHOI JAE YONG,03/02/2015,DEVOLUCION
2 TRIM 2014,326,EXTERNA F,A,TROTTA DIEGO,LENGARD CRISTINA,20928915825,CHOI JAE YONG,18/07/2013,
3 TRIM 2014,343,EXTERNA F,A,TROTTA DIEGO,LENGARD CRISTINA,20928915825,CHOI JAE YONG,18/07/2013,
3 TRIM 2015,371,EXTERNA F,A,GRANDE GABRIEL,MANCHINI HERNAN,20928915825,CHOI JAE YONG,21/07/2015,TRANSFERENCIA
4 TRIM 2014,325,EXTERNA F,A,TROTTA DIEGO,LENGARD CRISTINA,20928915825,CHOI JAE YONG,18/07/2013,
3 TRIM 2015,373,CONCURSOS Y QUIEBRAS,,PATANE GRACIELA,ATANIYA DIEGO,30708602619,CHOIKUE SA,08/07/2015,
1 TRIM 2014,323,EXTERNA C,VII,CIOCCA ELEONORA,BREPPE MARISA,27929277819,CHOQUE ZURITA MIRIAN,29/04/2014,
1 TRIM 2015,382,OPERATIVOS,A,GROSSI GUILLERMO,GONZALEZ MAURO,23043163019,CHOREN EDUARDO,17/10/2014,
2 TRIM 2015,393,OPERATIVOS,A,GROSSI GUILLERMO,GONZALEZ MAURO,23043163019,CHOREN EDUARDO,15/10/2014,
3 TRIM 2014,346,OPERATIVOS,A,GROSSI GUILLERMO,GONZALEZ MAURO,23043163019,CHOREN EDUARDO,17/10/2014,
3 TRIM 2015,374,OPERATIVOS,A,GROSSI GUILLERMO,GONZALEZ MAURO,23043163019,CHOREN EDUARDO,15/10/2014,
4 TRIM 2014,328,OPERATIVOS,A,GROSSI GUILLERMO,GONZALEZ MAURO,23043163019,CHOREN EDUARDO,17/10/2014,
1 TRIM 2015,383,CONCURSOS Y QUIEBRAS,,ESQUEFF ESTELA,GUMUCIO HUMBERTO,30710639090,CHRISVA SA,16/12/2014,
4 TRIM 2014,329,CONCURSOS Y QUIEBRAS,,ESQUEFF ESTELA,GUMUCIO HUMBERTO,30710639090,CHRISVA SA,16/12/2014,
1 TRIM 2015,384,EXTERNA A,III,CERRUTI PATRICIA ,ANTONELLI MARTA,30685158341,CHUBB ARG DE SEGUROS SA,20/03/2015,
2 TRIM 2015,394,EXTERNA A,III,CERRUTI PATRICIA ,ANTONELLI MARTA,30685158341,CHUBB ARG DE SEGUROS SA,20/03/2015,
3 TRIM 2015,375,EXTERNA A,III,CERRUTI PATRICIA ,ANTONELLI MARTA,30685158341,CHUBB ARG DE SEGUROS SA,20/03/2015,
1 TRIM 2015,385,EXTERNA E,II,GONZALEZ LAURA,ARFUSO VIVIANA,30709858773,CHUECA SOHO SA,26/09/2014,
2 TRIM 2015,395,EXTERNA E,II,GONZALEZ LAURA,ARFUSO VIVIANA,30709858773,CHUECA SOHO SA,26/09/2014,
3 TRIM 2014,347,EXTERNA E,II,GONZALEZ LAURA,ARFUSO VIVIANA,30709858773,CHUECA SOHO SA,26/09/2014,
3 TRIM 2015,376,EXTERNA E,II,GONZALEZ LAURA,ARFUSO VIVIANA,30709858773,CHUECA SOHO SA,01/10/2014,
4 TRIM 2014,330,EXTERNA E,II,GONZALEZ LAURA,ARFUSO VIVIANA,30709858773,CHUECA SOHO SA,26/09/2014,
2 TRIM 2014,329,EXTERNA F,A,NEME CAROLINA,CARLOS SOUTO,30709453803,CHUFFINO SA,04/07/2013,
1 TRIM 2014,324,EXTERNA E,II,NEME CAROLINA,SOUTO CARLOS,30709453803,CHUFINNO SA,04/07/2013,
1 TRIM 2015,386,EXTERNA F,A,NEME CAROLINA,SOUTO CARLOS,30709453803,CHUFINNO SA,04/07/2013,
2 TRIM 2014,330,EXTERNA E,II,NEME CAROLINA,SOUTO CARLOS,30709453803,CHUFINNO SA,04/07/2013,
2 TRIM 2015,396,EXTERNA F,A,NEME CAROLINA,SOUTO CARLOS,30709453803,CHUFINNO SA,19/03/2015,
3 TRIM 2014,348,EXTERNA F,A,NEME CAROLINA,SOUTO CARLOS,30709453803,CHUFINNO SA,04/07/2013,
4 TRIM 2014,331,EXTERNA F,A,NEME CAROLINA,SOUTO CARLOS,30709453803,CHUFINNO SA,04/07/2013,
1 TRIM 2014,325,EXTERNA D,I0,VALDES DAMIAN JAVIER,PEREZ PATRICIA,20927480795,CHUNG HACK,25/04/2014,
3 TRIM 2014,349,EXTERNA D,I0,LOPEZ GUSTAVO,PEREZ PATRICIA,20927480795,CHUNG HACK,25/04/2014,01/08/2014
3 TRIM 2014,350,PLANIFICACION Y SELECCION,INTERNA I,FORTUNA MARIA LAURA,CAPARRA MARCELA,20927972663,CHUNG JI HOON,21/08/2014,
1 TRIM 2014,326,OPERATIVOS,C,CASSIS CLAUDIA,PINTO JORGE,27929291986,CHURRATA CARASILA SONIA,04/02/2014,
1 TRIM 2015,387,EXTERNA F,B,CASSIS CLAUDIA,PINTO JORGE,27929291986,CHURRATA CARASILA SONIA,24/07/2012,DEVOLUCION
2 TRIM 2014,331,EXTERNA F,B,CASSIS CLAUDIA,PINTO JORGE,27929291986,CHURRATA CARASILA SONIA,,
2 TRIM 2015,397,EXTERNA F,B,CASSIS CLAUDIA,PINTO JORGE,27929291986,CHURRATA CARASILA SONIA,24/07/2012,DEVOLUCION
3 TRIM 2014,351,EXTERNA F,B,CASSIS CLAUDIA,PINTO JORGE,27929291986,CHURRATA CARASILA SONIA,04/02/2014,
1 TRIM 2014,327,EXTERNA B,V,CASTA?EDA VIVIANA,BECERRA PEREZ HUGO,30643449710,CIA ALIMENTARIA NACIONAL SA,21/05/2014,
1 TRIM 2015,388,EXTERNA B,V,CASTA?EDA VIVIANA,BECERRA PEREZ HUGO,30643449710,CIA ALIMENTARIA NACIONAL SA,21/05/2014,
2 TRIM 2014,332,EXTERNA B,V,CASTA?EDA VIVIANA,BECERRA PEREZ HUGO,30643449710,CIA ALIMENTARIA NACIONAL SA,21/05/2014,
2 TRIM 2015,398,EXTERNA B,V,CASTA?EDA VIVIANA,BECERRA PEREZ HUGO,30643449710,CIA ALIMENTARIA NACIONAL SA,21/05/2014,
3 TRIM 2014,352,EXTERNA B,V,CASTA?EDA VIVIANA,BECERRA PEREZ HUGO,30643449710,CIA ALIMENTARIA NACIONAL SA,21/05/2014,
4 TRIM 2014,332,EXTERNA B,V,CASTA?EDA VIVIANA,BECERRA HUGO,30643449710,CIA ALIMENTARIA NACIONAL SA,21/05/2014,
1 TRIM 2014,328,EXTERNA D,SELLOS,RIPOLI JORGE,CHIRICO MARIA,30707793747,CIA AMERICANA DE ALIMENTOS SA,20/12/2013,
1 TRIM 2015,389,EXTERNA D,SELLOS,RIPOLI JORGE,BEITONE VANESA,30707793747,CIA AMERICANA DE ALIMENTOS SA,20/12/2013,
2 TRIM 2014,333,EXTERNA D,SELLOS,RIPOLI JORGE,CHIRICO MARIA,30707793747,CIA AMERICANA DE ALIMENTOS SA,20/12/2013,
2 TRIM 2015,399,EXTERNA D,SELLOS,RIPOLI JORGE,BEITONE VANESA,30707793747,CIA AMERICANA DE ALIMENTOS SA,20/12/2013,
3 TRIM 2014,353,EXTERNA D,SELLOS,RIPOLI JORGE,CHIRICO MARIA,30707793747,CIA AMERICANA DE ALIMENTOS SA,20/12/2013,
4 TRIM 2014,333,EXTERNA D,SELLOS,RIPOLI JORGE,CHIRICO MARIA,30707793747,CIA AMERICANA DE ALIMENTOS SA,20/12/2013,
2 TRIM 2015,400,EXTERNA B,IV,CALVANI ALDANA,SPERONI MARCELO,30500032266,CIA ARG DE SEGUROS VICTORIA SA,29/04/2015,
3 TRIM 2015,377,EXTERNA B,IV,CALVANI ALDANA,SPERONI MARCELO,30500032266,CIA ARG DE SEGUROS VICTORIA SA,29/04/2015,
1 TRIM 2015,390,EXTERNA B,V,BODNER ALEJANDRA,RIVERO CLAUDIA,30709514152,CIA GATE WAY SA,12/11/2013,10/12/2014
4 TRIM 2014,334,EXTERNA B,V,BODNER ALEJANDRA,RIVERO CLAUDIA,30709514152,CIA GATE WAY SA,12/11/2013,10/12/2014
1 TRIM 2014,329,EXTERNA C,VIII,MORANO ADOLFO,SANCHEZ ARIAS HILDA,30711094853,CIA GENERAL DE PRODUCCIONES SA,01/04/2014,
1 TRIM 2015,391,EXTERNA C,VIII,MORANO ADOLFO,SANCHEZ ARIAS HILDA,30711094853,CIA GENERAL DE PRODUCCIONES SA,01/04/2014,
2 TRIM 2014,334,EXTERNA C,VIII,MORANO ADOLFO,SANCHEZ ARIAS HILDA,30711094853,CIA GENERAL DE PRODUCCIONES SA,01/04/2014,
2 TRIM 2015,401,EXTERNA C,VIII,MORANO ADOLFO,SANCHEZ ARIAS HILDA,30711094853,CIA GENERAL DE PRODUCCIONES SA,01/04/2014,
3 TRIM 2014,354,EXTERNA C,VIII,MORANO ADOLFO,SANCHEZ ARIAS HILDA,30711094853,CIA GENERAL DE PRODUCCIONES SA,01/04/2014,
4 TRIM 2014,335,EXTERNA C,VIII,MORANO ADOLFO,SANCHEZ ARIAS HILDA,30711094853,CIA GENERAL DE PRODUCCIONES SA,01/04/2014,
2 TRIM 2015,402,CONCURSOS Y QUIEBRAS,,DE LUSARRETA MARTIN,GIAMMARCHE DANIEL,30708420189,CIA GLOBAL DE SERVICIOS SA,03/02/2015,
3 TRIM 2015,378,CONCURSOS Y QUIEBRAS,,DE LUSARRETA MARTIN,GIAMMARCHE DANIEL,30708420189,CIA GLOBAL DE SERVICIOS SA,03/02/2015,
2 TRIM 2015,403,NORMAS Y MANUALES DE FISCALIZACION,EQUIPO A,MAGNO ANALIA PAULA,CEREZO MARCELA,30708044985,CIA INVERSORA LATINOAMERICANA,06/02/2015,02/06/2015
3 TRIM 2015,379,NORMAS Y MANUALES DE FISCALIZACION,EQUIPO A,MAGNO ANALIA PAULA,CEREZO MARCELA,30708044985,CIA INVERSORA LATINOAMERICANA,06/02/2015,02/06/2015
1 TRIM 2014,330,EXTERNA B,VI,"ARAYA, JAVIER",BOTANA ANTONIO,30695305644,CIA.  DE SERVICIOS AEROPORTUARIOS SA,05/02/2014,
2 TRIM 2014,335,EXTERNA B,VI,"ARAYA, JAVIER",BOTANA ANTONIO,30695305644,CIA.  DE SERVICIOS AEROPORTUARIOS SA,05/02/2014,
1 TRIM 2015,393,EXTERNA B,VI,"ARAYA, JAVIER",BOTANA ANTONIO,30695305644,CIA. DE SERVICIOS AEROPORTUARIOS SA,05/02/2014,
2 TRIM 2015,404,EXTERNA B,VI,"ARAYA, JAVIER",BOTANA ANTONIO,30695305644,CIA. DE SERVICIOS AEROPORTUARIOS SA,05/02/2014,
3 TRIM 2014,355,EXTERNA B,VI,"ARAYA, JAVIER",BOTANA ANTONIO,30695305644,CIA. DE SERVICIOS AEROPORTUARIOS SA,05/02/2014,
3 TRIM 2015,380,EXTERNA B,VI,"ARAYA, JAVIER",BOTANA ANTONIO,30695305644,CIA. DE SERVICIOS AEROPORTUARIOS SA,05/02/2014,
4 TRIM 2014,337,EXTERNA B,VI,"ARAYA, JAVIER",BOTANA ANTONIO,30695305644,CIA. DE SERVICIOS AEROPORTUARIOS SA,05/02/2014,
1 TRIM 2014,331,EXTERNA D,I0,ENTROCASSI PAOLA,MILMAN MARIANO,30709186295,CIA.MEDIOS DIGITALES SA,04/11/2008,18/01/2013
2 TRIM 2014,336,EXTERNA D,I0,ENTROCASSI PAOLA,MILMAN MARIANO,30709186295,CIA.MEDIOS DIGITALES SA,04/11/2008,18/01/2013
3 TRIM 2014,357,EXTERNA D,I0,ENTROCASSI PAOLA,MILMAN MARIANO,30709186295,CIA.MEDIOS DIGITALES SA,04/11/2008,41292
2 TRIM 2015,407,CONCURSOS Y QUIEBRAS,,"FIGLAS, FLAVIA",LENGARD CRISTINA,30504257416,CIARRAPICO HNOS SA,14/05/2015,
1 TRIM 2015,396,EXTERNA A,I,CICCONE GISELA,EDREIRA NORMA,30689011051,CIBA ESPECIALIADES QUIMICAS SA,02/03/2015,
2 TRIM 2015,408,EXTERNA A,I,CICCONE GISELA,EDREIRA NORMA,30689011051,CIBA ESPECIALIADES QUIMICAS SA,02/03/2015,
3 TRIM 2015,383,EXTERNA A,I,CICCONE GISELA,EDREIRA NORMA,30689011051,CIBA ESPECIALIADES QUIMICAS SA,02/03/2015,
3 TRIM 2015,384,OPERATIVOS,A,LOPEZ MARIA CAROLINA,BARBAGELATA RODOLFO,20291355936,CIBELLO JORGE LUCIANO,26/08/2015,
1 TRIM 2015,397,EXTERNA E,I,FERRARO LAURA,FERNANDEZ JUAN,27214740422,CICCHINELLI JACQUELINE ALICIA,28/01/2015,
2 TRIM 2015,409,EXTERNA E,I,FERRARO LAURA,FERNANDEZ JUAN,27214740422,CICCHINELLI JACQUELINE ALICIA,28/01/2015,
3 TRIM 2015,385,EXTERNA E,I,FERRARO LAURA,FERNANDEZ JUAN,27214740422,CICCHINELLI JACQUELINE ALICIA,30/01/2015,
1 TRIM 2014,332,PLANIFICACION Y SELECCION,A,LEDESMA CARINA,D'APICE ADRIANA,30539889911,CICLOQUIMICA SAC,30/06/2014,
2 TRIM 2014,337,PLANIFICACION Y SELECCION,INTERNA I,LEDESMA CARINA,D'APICE ADRIANA,30539889911,CICLOQUIMICA SAC,30/06/2014,
3 TRIM 2014,358,PLANIFICACION Y SELECCION,INTERNA I,LEDESMA CARINA,D'APICE ADRIANA,30539889911,CICLOQUIMICA SAC,30/06/2014,
1 TRIM 2014,333,CONCURSOS Y QUIEBRAS,,COTELLA CLAUDIA,ATANIYA DIEGO,30607223021,CIDAL SAN LUIS SA,03/06/2014,
2 TRIM 2014,338,CONCURSOS Y QUIEBRAS,,COTELLA CLAUDIA,ATANIYA DIEGO,30607223021,CIDAL SAN LUIS SA,03/06/2014,
2 TRIM 2014,339,CONCURSOS Y QUIEBRAS,,"MALAGUEO, ELDA A.","POLICANO, ANTONIO",30711832420,CIELO PAMPA SRL,10/07/2014,
1 TRIM 2014,334,EXTERNA E,I,BOTTOLI OSCAR,D'AMICO VANINA,30709486752,CIENCIAS PARA TODOS SRL,26/05/2014,
1 TRIM 2015,398,EXTERNA E,I,BOTTOLI OSCAR,D'AMICO VANINA,30709486752,CIENCIAS PARA TODOS SRL,26/05/2014,
2 TRIM 2014,340,EXTERNA E,I,BOTTOLI OSCAR,D'AMICO VANINA,30709486752,CIENCIAS PARA TODOS SRL,26/05/2014,
3 TRIM 2014,359,EXTERNA E,I,BOTTOLI OSCAR,D'AMICO VANINA,30709486752,CIENCIAS PARA TODOS SRL,26/05/2014,
4 TRIM 2014,338,EXTERNA E,I,BOTTOLI OSCAR,D'AMICO VANINA,30709486752,CIENCIAS PARA TODOS SRL,26/05/2014,
1 TRIM 2014,335,EXTERNA A,I,BRONSTAIN JORGE,EDREIRA NORMA,30636741120,CIGLIUTTI GUERINI SACIFI Y A,13/07/2012,17/03/2014
1 TRIM 2015,399,EXTERNA A,I,BRONSTAIN JORGE,EDREIRA NORMA,30636741120,CIGLIUTTI GUERINI SACIFI Y A,13/07/2012,17/03/2014
2 TRIM 2014,341,EXTERNA A,I,BRONSTAIN JORGE,EDREIRA NORMA,30636741120,CIGLIUTTI GUERINI SACIFI Y A,13/07/2012,17/03/2014
2 TRIM 2015,410,EXTERNA A,I,BRONSTAIN JORGE,EDREIRA NORMA,30636741120,CIGLIUTTI GUERINI SACIFI Y A,13/07/2012,17/03/2014
3 TRIM 2014,360,EXTERNA A,I,BRONSTAIN JORGE,EDREIRA NORMA,30636741120,CIGLIUTTI GUERINI SACIFI Y A,13/07/2012,17/03/2014
3 TRIM 2015,386,EXTERNA A,I,BRONSTAIN JORGE,EDREIRA NORMA,30636741120,CIGLIUTTI GUERINI SACIFI Y A,13/07/2012,17/03/2014
4 TRIM 2014,339,EXTERNA A,I,BRONSTAIN JORGE,EDREIRA NORMA,30636741120,CIGLIUTTI GUERINI SACIFI Y A,13/07/2012,17/03/2014
1 TRIM 2014,336,EXTERNA B,VI,"ARAYA, JAVIER",BOTANA ANTONIO,30709787442,CILOVI SA,03/02/2014,
1 TRIM 2015,400,EXTERNA B,VI,"ARAYA, JAVIER",BOTANA ANTONIO,30709787442,CILOVI SA,03/02/2014,
2 TRIM 2014,342,EXTERNA B,VI,"ARAYA, JAVIER",BOTANA ANTONIO,30709787442,CILOVI SA,03/02/2014,
2 TRIM 2015,411,EXTERNA B,VI,"ARAYA, JAVIER",BOTANA ANTONIO,30709787442,CILOVI SA,03/02/2014,
3 TRIM 2014,361,EXTERNA B,VI,"ARAYA, JAVIER",BOTANA ANTONIO,30709787442,CILOVI SA,03/02/2014,
3 TRIM 2015,387,EXTERNA B,VI,"ARAYA, JAVIER",BOTANA ANTONIO,30709787442,CILOVI SA,03/02/2014,
4 TRIM 2014,340,EXTERNA B,VI,"ARAYA, JAVIER",BOTANA ANTONIO,30709787442,CILOVI SA,03/02/2014,
1 TRIM 2015,401,CONCURSOS Y QUIEBRAS,,GUTIERREZ ALICIA,ATANIYA DIEGO,30517675292,CIMA SA,05/01/2015,
2 TRIM 2015,412,CONCURSOS Y QUIEBRAS,,GUTIERREZ ALICIA,LENGARD CRISTINA,30517675292,CIMA SA,09/10/2014,
3 TRIM 2015,388,CONCURSOS Y QUIEBRAS,,GUTIERREZ ALICIA,LENGARD CRISTINA,30517675292,CIMA SA,08/01/2015,
1 TRIM 2014,337,EXTERNA D,I0,VALDES DAMIAN JAVIER,PEREZ PATRICIA,30710216254,CIMATECH SRL,20/12/2013,07/05/2014
1 TRIM 2015,402,EXTERNA D,I0,ANDRADA ELEONORA,PEREZ PATRICIA,30710216254,CIMATECH SRL,20/12/2013,01/08/2014
3 TRIM 2014,362,EXTERNA D,I0,ANDRADA ELEONORA,PEREZ PATRICIA,30710216254,CIMATECH SRL,20/12/2013,01/08/2014
4 TRIM 2014,341,EXTERNA D,I0,ANDRADA ELEONORA,PEREZ PATRICIA,30710216254,CIMATECH SRL,20/12/2013,01-ago-14
1 TRIM 2014,338,EXTERNA C,VII,POSE LUCIANA,BIANCHI MARIA FERNANDA,30534716806,CIMATER SRL,17/01/2014,
2 TRIM 2014,343,EXTERNA C,VII,POSE LUCIANA,BIANCHI MARIA FERNANDA,30534716806,CIMATER SRL,17/01/2014,
3 TRIM 2014,363,EXTERNA C,VII,POSE LUCIANA,BIANCHI MARIA FERNANDA,30534716806,CIMATER SRL,17/01/2014,
1 TRIM 2015,403,EXTERNA C,IX,QUIROGA MARIA FLORENCIA,TRICOTTI GABRIELA,30557107416,CIMMINO HNOS SA,21/08/2014,
2 TRIM 2015,413,EXTERNA C,IX,QUIROGA MARIA FLORENCIA,TRICOTTI GABRIELA,30557107416,CIMMINO HNOS SA,21/08/2014,
3 TRIM 2014,364,EXTERNA C,IX,QUIROGA MARIA FLORENCIA,TRICOTTI GABRIELA,30557107416,CIMMINO HNOS SA,21/08/2014,
3 TRIM 2015,389,EXTERNA C,IX,QUIROGA MARIA FLORENCIA,TRICOTTI GABRIELA,30557107416,CIMMINO HNOS SA,21/08/2014,
4 TRIM 2014,342,EXTERNA C,IX,QUIROGA MARIA FLORENCIA,TRICOTTI GABRIELA,30557107416,CIMMINO HNOS SA,21/08/2014,
1 TRIM 2014,339,EXTERNA A,I,CICCONE GISELA,EDREIRA NORMA,33707558089,CINCO EDICIONES Y CONTENIDOS SA,13/03/2014,
1 TRIM 2015,404,EXTERNA A,I,CICCONE GISELA,EDREIRA NORMA,33707558089,CINCO EDICIONES Y CONTENIDOS SA,13/03/2014,
2 TRIM 2014,344,EXTERNA A,I,CICCONE GISELA,EDREIRA NORMA,33707558089,CINCO EDICIONES Y CONTENIDOS SA,13/03/2014,
3 TRIM 2014,365,EXTERNA A,I,CICCONE GISELA,EDREIRA NORMA,33707558089,CINCO EDICIONES Y CONTENIDOS SA,13/03/2014,
4 TRIM 2014,343,EXTERNA A,I,CICCONE GISELA,EDREIRA NORMA,33707558089,CINCO EDICIONES Y CONTENIDOS SA,13/03/2014,
1 TRIM 2015,405,EXTERNA C,IX,VUOTTO GUSTAVO,SANTORA ALEJANDRO,30711101744,CINCO REINAS SA,23/07/2014,
2 TRIM 2014,345,EXTERNA C,IX,VUOTTO GUSTAVO,SANTORA ALEJANDRO,30711101744,CINCO REINAS SA,23/07/2014,
3 TRIM 2014,366,EXTERNA C,IX,VUOTTO GUSTAVO,SANTORA ALEJANDRO,30711101744,CINCO REINAS SA,23/07/2014,
4 TRIM 2014,344,EXTERNA C,IX,VUOTTO GUSTAVO,SANTORA ALEJANDRO,30711101744,CINCO REINAS SA,23/07/2014,
1 TRIM 2014,340,EXTERNA A,I,BERNALDO DE QUIROS ALVARO,EDREIRA NORMA,30708135433,CINTREY SA,13/02/2014,
1 TRIM 2015,406,EXTERNA C,VII,BERNALDO DE QUIROS ALVARO,BREPPE MARISA,30708135433,CINTREY SA,13/02/2014,
2 TRIM 2014,346,EXTERNA C,VII,BERNALDO DE QUIROS ALVARO,BREPPE MARISA,30708135433,CINTREY SA,13/02/2014,
2 TRIM 2015,414,EXTERNA C,VII,BERNALDO DE QUIROS ALVARO,BREPPE MARISA,30708135433,CINTREY SA,13/02/2014,
3 TRIM 2014,367,EXTERNA C,VII,BERNALDO DE QUIROS ALVARO,BREPPE MARISA,30708135433,CINTREY SA,13/02/2014,
3 TRIM 2015,390,EXTERNA C,VII,BERNALDO DE QUIROS ALVARO,BREPPE MARISA,30708135433,CINTREY SA,13/02/2014,
4 TRIM 2014,345,EXTERNA C,VII,BERNALDO DE QUIROS ALVARO,BREPPE MARISA,30708135433,CINTREY SA,13/02/2014,
1 TRIM 2014,341,OPERATIVOS,C,MORANDO GUSTAVO,ZELVYS SERGIO,20129610205,CIPOLLONE JOSE JUAN,06/02/2014,
2 TRIM 2014,347,EXTERNA F,B,MORANDO GUSTAVO,ZELVYS SERGIO,20129610205,CIPOLLONE JOSE JUAN,06/02/2014,
3 TRIM 2014,368,EXTERNA F,B,MORANDO GUSTAVO,ZELVYS SERGIO,20129610205,CIPOLLONE JOSE JUAN,06/02/2014,
3 TRIM 2015,391,CONCURSOS Y QUIEBRAS,,COTELLA CLAUDIA,LENGARD CRISTINA,30709390682,CIRCONS SRL,29/09/2015,
2 TRIM 2015,415,CONCURSOS Y QUIEBRAS,,MUNIZ CLAUDIO,GUMUCIO HUMBERTO,30708061707,CIREC SRL,12/05/2015,
1 TRIM 2015,407,EXTERNA C,VII,PENZA SILVINA,BIANCHI MARIA FERNANDA,30539509256,CIRILO AYLING SAIC,23/07/2014,
2 TRIM 2014,348,EXTERNA C,VII,PENZA SILVINA,BIANCHI MARIA FERNANDA,30539509256,CIRILO AYLING SAIC,23/07/2014,
3 TRIM 2014,369,EXTERNA C,VII,PENZA SILVINA,BIANCHI MARIA FERNANDA,30539509256,CIRILO AYLING SAIC,23/07/2014,
4 TRIM 2014,346,EXTERNA C,VII,PENZA SILVINA,BIANCHI MARIA FERNANDA,30539509256,CIRILO AYLING SAIC,23/07/2014,
1 TRIM 2015,408,EXTERNA C,IX,ARRIETA SILVIA,TRICOTTI GABRIELA,30500005625,CITIBANK NA,14/09/2009,23/10/2014
2 TRIM 2015,416,EXTERNA C,IX,ARRIETA SILVIA,TRICOTTI GABRIELA,30500005625,CITIBANK NA,14/09/2009,23/10/2014
3 TRIM 2014,370,EXTERNA C,IX,ARRIETA SILVIA,TRICOTTI GABRIELA,30500005625,CITIBANK NA,14/09/2009,23/10/2014
3 TRIM 2015,392,EXTERNA C,IX,ARRIETA SILVIA,TRICOTTI GABRIELA,30500005625,CITIBANK NA,14/09/2009,23/10/2014
4 TRIM 2014,347,EXTERNA C,IX,ARRIETA SILVIA,TRICOTTI GABRIELA,30500005625,CITIBANK NA,14/09/2009,23/10/2014
2 TRIM 2015,417,EXTERNA B,IV,CALVANI ALDANA,SPERONI MARCELO,30709247820,CITYTOYS SA,13/05/2015,
3 TRIM 2015,393,EXTERNA B,IV,CALVANI ALDANA,SPERONI MARCELO,30709247820,CITYTOYS SA,13/05/2015,
1 TRIM 2014,342,EXTERNA A,II,PERALTA MARCELA,ROMERO GUADALUPE,30710659717,CIVINEXT SA,06/07/2012,
1 TRIM 2015,409,EXTERNA A,II,PERALTA MARCELA,ALVAREZ MARTIN,30710659717,CIVINEXT SA,06/07/2012,20/03/2015
2 TRIM 2014,349,EXTERNA A,II,PERALTA MARCELA,ALVAREZ MARTIN,30710659717,CIVINEXT SA,06/07/2012,
2 TRIM 2015,418,EXTERNA A,II,PERALTA MARCELA,ALVAREZ MARTIN,30710659717,CIVINEXT SA,06/07/2012,20/03/2015
3 TRIM 2014,371,EXTERNA A,II,PERALTA MARCELA,ALVAREZ MARTIN,30710659717,CIVINEXT SA,06/07/2012,
3 TRIM 2015,394,EXTERNA A,II,PERALTA MARCELA,ALVAREZ MARTIN,30710659717,CIVINEXT SA,06/07/2012,20/03/2015
1 TRIM 2014,343,EXTERNA D,I0,SZUMOWSKI CAROLINA,MILMAN MARIANO,30519385852,CLAMA SA,18/03/2013,18/11/2013
1 TRIM 2015,410,EXTERNA D,I0,SZUMOWSKI CAROLINA,MILMAN MARIANO,30519385852,CLAMA SA,18/03/2013,18/11/2013
2 TRIM 2014,350,EXTERNA D,I0,SZUMOWSKI CAROLINA,MILMAN MARIANO,30519385852,CLAMA SA,18/03/2013,18/11/2013
3 TRIM 2014,372,EXTERNA D,I0,SZUMOWSKI CAROLINA,MILMAN MARIANO,30519385852,CLAMA SA,18/03/2013,18/11/2013
4 TRIM 2014,348,EXTERNA D,I0,SZUMOWSKI CAROLINA,MILMAN MARIANO,30519385852,CLAMA SA,18/03/2013,18/11/2013
1 TRIM 2015,411,PUBLICIDAD REG SIMPL Y OPERATIVOS,B,ALEGRE LUIS,ZOCCALI JOSE LUIS,30707176284,CLANDESTINE SRL,10/11/2014,
2 TRIM 2015,419,PUBLICIDAD REG SIMPL Y OPERATIVOS,B,ALEGRE LUIS,ZOCCALI JOSE LUIS,30707176284,CLANDESTINE SRL,10/11/2014,
3 TRIM 2015,395,PUBLICIDAD REG SIMPL Y OPERATIVOS,B,ALEGRE LUIS,ZOCCALI JOSE LUIS,30707176284,CLANDESTINE SRL,14/09/2015,DEVOLUCION
4 TRIM 2014,349,PUBLICIDAD REG SIMPL Y OPERATIVOS,B,ALEGRE LUIS,ZOCCALI JOSE LUIS,30707176284,CLANDESTINE SRL,10/11/2014,
3 TRIM 2015,396,CONCURSOS Y QUIEBRAS,,CAMELINO SUSANA,GUMUCIO HUMBERTO,20102333951,CLAZON PIZURNO JUAN ALBERTO,28/07/2015,
